author_id,created_at,text,score,bert
2947983175,2018-11-01T23:51:09.000Z,"
Were here folks ~ &amp; there's no escape

",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9985758066177368}]"
116231444,2018-11-01T23:07:35.000Z,"@TechCrunch @lucasmtny Hmm maybe because all numbers have dropped significantly sincestarted asking foror Fingerprints to be able to make any transactions with them. Believe it or not most people in the Real World still Value their . 
 4 China ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9984970092773438}]"
16958077,2018-11-01T21:29:08.000Z,.@emirates to launch world-firstat @DubaiAirportsproviding a streamlined airport journey for passengers from check-in toboarding. The innovative new system usessuch as...,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9972221851348877}]"
9959322,2018-11-01T19:47:51.000Z," shows to bring benefits tofighting against crime due to finance cuts it lacks in effectiveness in reducing gun crimes andprediction bias
@Forbes ",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9945955872535706}]"
2800599859,2018-11-01T18:59:02.000Z,10 Top Strategic Predictions for 2019 -,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9908697009086609}]"
353307210,2018-11-01T18:32:32.000Z,"@jblefevre60 @kashthefuturist @evankirstel @diioannid @Paula_Piccard @mclynd @SpirosMargaris @ipfconline1 @JacBurns_Comext @LouisSerge @jerome_joffre @HaroldSinnott @ahier @rajat_shrimal @kalydeoo @HITpol @sallyeaves wow

HT @kashthefuturist",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.716305136680603}]"
4374719908,2018-11-01T18:16:36.000Z,"China's powerful surveillance system!

HT @kashthefuturist

@evankirstel @diioannid @Paula_Piccard @mclynd @diioannid @SpirosMargaris @ipfconline1 @JacBurns_Comext @LouisSerge @jerome_joffre @HaroldSinnott @ahier @rajat_shrimal @kalydeoo @HITpol @sallyeaves ",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8378115296363831}]"
277285255,2018-11-01T17:46:26.000Z,"This project is gaining traction at a rapid pace.

_Learning",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.999593198299408}]"
794190350936109057,2018-11-01T17:32:07.000Z,"Piratenpartei RT PirateSecon: High-Tech Schoolpowered byandto make schools a better and safer place. That‘s what is promised to happen. In reality it is not that easy.

 ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9978960752487183}]"
15787308,2018-11-01T17:30:00.000Z,"Another day another step to a full boycott of @amazon.They providetoand are actively bidding to help the empire/pentagon run AI systems.

Instead of going to @WholeFoods I bought myveggies at local market @growdtla",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9985312223434448}]"
