author_id,created_at,text
1066770250845364229,2018-12-01T23:51:14.000Z,Technology is continually advancing and it’s reshaping the healthcare landscape at a faster rate in positive ways. Some of the latest technologies includingand . 
3232879200,2018-12-01T23:03:02.000Z,"“Facial Recognition Technology and What It Means for Data Privacy and Protection”

 "
1536562052,2018-12-01T22:44:32.000Z,"RT Ronald_vanLoon ""RT Ronald_vanLoon: This is Yape self-driving deliverythat usesto unlock
via futurism |

… "
3166958767,2018-12-01T22:01:18.000Z, technology could soon give govts the ability to track everyone everywhere—&amp; log all actions—with “profound potential ramifications for even just the fundamental civil liberties on which democratic societies rely” | @BradSmi #@bobzimmermp 
327866105,2018-12-01T21:00:03.000Z,How facial recognition technology aids police:
16695518,2018-12-01T20:59:40.000Z,"US lawmakers have issued another letter toCEO Jeff Bezos demanding details on the company’s facial recognitioncalled “Rekognition.” 
"
110312945,2018-12-01T19:41:40.000Z," may want to identify burglars withtech 

"
51276630,2018-12-01T19:27:03.000Z,Amazon facial recognition software may be racially biased
436851822,2018-12-01T19:00:01.000Z,: Is Privacy Evolving? Experts Weigh In | Read more from @FaceFirstInc:
38847907,2018-12-01T18:43:56.000Z,":
When you useandtargeted at theAncient Facial Representations asyou will translate- The First Global Language. "
156568938,2018-12-01T18:40:04.000Z,"How&amp;are transforming the

@andi_staub @guzmand @DeepLearn007 @LouisSerge @alevergara78 @HighTechPro @SBarnes"
1469876155,2018-12-01T18:34:53.000Z,Intelligent Security: How AI Is Revolutionizing Identity Verification Fraud Detection And Risk Assessment @ed_verita
718804592973053952,2018-12-01T17:37:58.000Z,"Consider Emirates airlines. What would happen to your biometric data that Delta collected if Emirates or any other airline decided to purchase Delta?
via @CNBC"
702186798139645952,2018-12-01T17:31:56.000Z,Lawmakers still seeking details on 'ssoftware 
8176352,2018-12-01T17:15:07.000Z,"Today USA's 😁 ""first biometric terminal"" is ready to go at ✈️ Atlanta airport according to @Delta:

@usatodaytravel"
2369741990,2018-12-01T17:00:02.000Z,"The US Secret Service is testingto determine if the technology can be used to identify ""known subjects of interest"" around the White House."
1350363212,2018-12-01T16:11:39.000Z," must be a foundationprinciple for responsible 

Lawmakers say Amazon’ssoftware may be racially biased and harm free expression – TechCrunch "
4116761860,2018-12-01T15:22:00.000Z,I wonder if my phone will unlock if i wink at it 
785865758156947456,2018-12-01T15:18:00.000Z,The Chinese publicly shame their citizens on giant billboards for .To shame as many people as possibleis usingsoftware.By @litaoscmp via @SCMPNews 
3403327349,2018-12-01T15:01:16.000Z,"Delta usingthroughout ATL international terminal

"
18068926,2018-12-01T14:57:46.000Z,"The 1stairport terminal in US is about to open 

via @rajat_shrimal 
"
14440053,2018-12-01T14:50:11.000Z,Facial recognition is everywhere here’s why that’s concerning. Whether the technology is being used for convenience or surveillance needs to be considered.
752003275877122048,2018-12-01T14:25:00.000Z, will be deployed at a marathon on Sunday in China to crack down on cheating state media said after a half-marathon was blighted by widescale flouting of the rules.
205117304,2018-12-01T14:09:40.000Z,"RT Ronald_vanLoon: Brain waves can help reconstruct mental images using EEG data
by UTSC |



Cc: Vilynx UTSC DigitalTrends MikeQuindazzi"
1962723907,2018-12-01T13:57:46.000Z," is not a silver bullet but it could help tackle some of the world’s most challenging social problems. @McKinsey 


 "
1019916306160799745,2018-12-01T13:26:58.000Z,"RT:@rajat_shrimal 
The 1stairport terminal in US is about to open 
via @rajat_shrimal cc @MikeQuindazzi @Paula_Piccard @kuriharan @HaroldSinnott @kashthefuturist @diioannid @chboursin @jblefevre60
 "
256965214,2018-12-01T12:39:21.000Z,"Great things being done by @worldreach_WRS. Signed a contract with @ukhomeoffice so EU Nationals can verify their identity with a mobile app and ato apply for UK settled status after . Worth a follow.
 
"
776446842649227264,2018-12-01T11:05:30.000Z,@ The Capital on the Park 
776446842649227264,2018-12-01T11:04:35.000Z,@ The Capital on the Park 
179455653,2018-12-01T10:35:55.000Z,The latest The Bannerbridge Security Gazette!Thanks to @exxonmobil_sg @SeagullSci @PocketHRMS
367022522,2018-12-01T10:23:34.000Z,Incredible Japanese technology making thesedata-based face masks. Used fortraining they’ll likely have a memorial application too
706828922051100673,2018-12-01T08:06:52.000Z,"Employers are now using facial recognition technology to evaluate candidates based on mood chemistry and context in addition to their professional skills: 

via @_HRTechnologist

"
205117304,2018-12-01T08:03:36.000Z,"This is Yape self-driving deliverythat usesto unlock
via futurism |

"
62952341,2018-12-01T08:03:08.000Z,"Ronald_vanLoon: This is Yape self-driving deliverythat usesto unlock
via futurism |

… "
1044480492685398016,2018-12-01T07:56:33.000Z,"“The software failed to facially recognize 28 members of Congress with a higher failure rate towards people of color.”



"
201284560,2018-12-01T07:45:45.000Z,NEC providingfor automated check-out in Japan convenience store pilot
756815930,2018-12-01T06:02:29.000Z,"The 1stairport terminal in US is about to open 

via @rajat_shrimal cc @MikeQuindazzi @Paula_Piccard @kuriharan @SpirosMargaris @HaroldSinnott @sallyeaves @kashthefuturist @diioannid @chboursin @jblefevre60
"
1536562052,2018-12-01T04:34:17.000Z,"RT Ronald_vanLoon ""This is Yape self-driving deliverythat usesto unlock
via futurism |

… "
15221598,2018-12-01T04:07:00.000Z, tech catches traveler with fake papers.(Futurism)
555031989,2018-12-01T04:02:00.000Z,"This is Yape self-driving deliverythat usesto unlock
via @futurism |

"
2509534063,2018-12-01T03:15:05.000Z,"Integrate yoursystem with ourplatform to drive employee authentication to a new level.


SMS SAGE to 56767 to know more."
264340308,2018-12-01T02:08:30.000Z,You can run but you can’t hide.No seriously.Ainis going to useto make sure competitors aren’t cheating and having someone run for them or take shortcuts.@runnersworld 
3959010562,2018-12-01T01:54:01.000Z,Facial surveillance other school security upgrades raise eyebrows in New York
2741661968,2018-12-02T23:56:26.000Z,Lawmakers say Amazon's facial recognition software may be racially biased and harm free expression - TechCrunch
15135567,2018-12-02T22:00:00.000Z,"Amazonsoftware may be racially biased
 
 "
56366858,2018-12-02T21:10:03.000Z,Howtechnology aids police
33750225,2018-12-02T21:00:14.000Z,Register now 👉for the live ACSpanel webinar Tues 11 Dec 12.30pm (AEDT) to hear about current issues affecting ICT professionals. Fromto the legalities ofto&amp; more. 
50636347,2018-12-02T20:49:01.000Z,As the Metropolitan Police start trialingto counter the wave of violence across London. @BillMew calls for judicial supervision &amp; oversight to ensure ethical and appropriate use and further development to improve effectiveness
2150111760,2018-12-02T17:20:37.000Z,"Microsoft President: : Coming to a street corner near you. Webinar Dec 6
"
