author_id,created_at,text
754984362475651072,2019-05-01T22:02:22.000Z,"Great conference lots of good info and networking with players inidentity management and
 
… "
740343025080127488,2019-05-01T21:39:07.000Z,@AppleSupportI recently got a haircut so my contours and face aren’t registering quite right with facial id on my phone. Please investigate? 
3018841323,2019-05-01T21:36:42.000Z,"Time to learn how to make face recognition applications with machine learning! @ScalarResearch @GabrielBianconi 

 "
28803219,2019-05-01T21:05:44.000Z,Factors to take into account when evaluating bias inare people/demographics environment &amp; sensors: covered by @GabrielBianconi in Face Processing workshop at
824681883866951682,2019-05-01T20:42:01.000Z,"Excellent point from @jovialjoy.
via @CNETNews 
 
"
28803219,2019-05-01T20:40:55.000Z,Atworkshop “Introduction to Face Processing” @GabrielBianconi explains how with&amp; otheradvances facial recognition rates are steadily increasing in some cases close to 100%
1205608057,2019-05-01T20:19:05.000Z,June 20th selected as . Councils being urged to throw their doors open so people can see how they operate at 1st hand. Glasgow urged to let public see how it plans to use £1.2m face-scansystem
1735172144,2019-05-01T20:00:44.000Z,".@FacePhi continues upward trajectory with strong fiscal 2018 report.



 "
77312459,2019-05-01T20:00:32.000Z,". @Ipsidy brings itstechnology to a new partnership with @boxersecurity a private security firm operating in Peru.

"
18950544,2019-05-01T19:42:57.000Z,'stechnology is supercharging local- The Washington Post
787150986313801728,2019-05-01T19:34:45.000Z,"Chooch does real-time facial recognition training with mobile phones at the Connect ID conference. Washington DC. 
"
992027556693053441,2019-05-01T19:30:00.000Z," :@brave browser @dadabotsestimationboarding @marcmcmenamin's Code Breaker and David Attenborough!



"
4558843844,2019-05-01T19:01:37.000Z,In partnership with U.S. Customs and Border Protection @JetBlue is expanding the use oftechnology. Learn more:
1077385579,2019-05-01T18:45:02.000Z,Who’s using your face? The ugly truth about facial recognition
48096388,2019-05-01T18:43:52.000Z,"""To demonstrate how easy it is to track people without their knowledge we collected public images of people... and ran one day of footage through Amazon’s commercial facial recognition service."" Scary NYT long read aboutrecognition "
2425836948,2019-05-01T18:12:04.000Z,"Amazon Deep Learning Chip

The chip on show at Amazon’s MARS event—alongside karate-chopping robots and Martian bases—is many times more efficient than conventional silicon chips.

"
18068926,2019-05-01T18:11:56.000Z,"Spying on workers 

V/@TheEconomist @jblefevre60 
"
72603393,2019-05-01T17:49:04.000Z,New @elanhomesystems 8.3.500 update brings incredible new features to the award winning smart connect home automation system
16974619,2019-05-01T17:40:49.000Z,"In @POGOBlog's Task Force Report onwe explain how lawmakers can protect privacy rights &amp; civil liberties as law enforcement's use oftechnology becomes more widespread. 

Read it here:"
72603393,2019-05-01T17:39:06.000Z,New ⁦@elanhomesystems⁩ 8.3.509 brings incredible new features to the award winning smart connect home automation system
2159851994,2019-05-01T17:26:38.000Z,"-
They don’t get it:

Accuracy is *not* the problem with !
Would it be any better if it was accurate?

Please study the meaning of@bbw1984
- "
1051222879348641792,2019-05-01T17:19:30.000Z,"""A team of researchers from the University of Bradford has discovered that facial recognition technology works even when only half of a face is visible."""
245953506,2019-05-01T17:10:10.000Z,Facial Recognition Software Meets Its Match: Barnyard Animals
2906419549,2019-05-01T16:49:00.000Z, Brings Opportunity ... andConcerns
2722503240,2019-05-01T16:26:21.000Z,Police are using Amazon's facial recognition technologyvia @washingtonpost ht @cfcmedialab 👁️👮‍♂️🚔
1506143917,2019-05-01T16:17:07.000Z,Eye-opening thread ontechnology. 
2356982959,2019-05-01T16:16:25.000Z,.RealNetworks taps Jay Burrell to lead SAFRglobal sales and business development 
518238327,2019-05-01T16:13:09.000Z,.@RealNetworks taps Jay Burrell to lead SAFRglobal sales and business development 
25471555,2019-05-01T16:03:11.000Z, may be all the rage butdeserves more attention too:
15693683,2019-05-01T15:29:49.000Z,Another story about(in @washingtonpost) is reminder that itsgroup w IBM/Google/FB/MSFT Partnership on AI should have released a report on face recognition not criminal risk assessment tech no PAI members offer 
278335034,2019-05-01T15:06:16.000Z,Amazon’sis supercharging local police.
166202252,2019-05-01T15:06:08.000Z,@Stuart_McDonald:raises serious questions around human rights. Notes huge concerns on impact on privacy + free expression plus risk of bias. It shouldn't be used until these issues are resolved.
166202252,2019-05-01T15:06:06.000Z,@JimShannonMP notes how technologies such ascan be used to suppress people and echoes concerns about false positives and bias.
113770895,2019-05-01T15:02:39.000Z,Practice ofis then bound to fail potential legality control at European Court of Human Rights. Practice must be “in accordance w/ a procedure prescribed by law” ie “sufficiently accessible &amp; precise in order to avoid all risk of arbitrariness”. @darrenpjones 
25471555,2019-05-01T14:52:23.000Z,"""What we try to do is differentiate betweenand perhaps facial detection"" notes @futureofprivacy's @JulesPolonetsky. The hard one is . See:"
1116626643127193600,2019-05-01T14:51:27.000Z,"@Hannah_Couchman @darrenpjones Liberty's @Hannah_Couchman reacting to discussion in Parliament now onwhere @darrenpjones notes bias is inherent in use of the technology. 

Hannah expressed similar concern abt use of AI in policing in our Law &amp; Tech symposium here:"
25471555,2019-05-01T14:50:04.000Z,Alright!has arrived at the @SenateCommerce's privacy hearing. @RoyBlunt inquiring whether and how to include biometrics in the definition of personal information.
