author_id,created_at,text,score,bert
3127375655,2019-03-01T23:53:01.000Z,Facebook's '10 Year Challenge' Is Just a Harmless Meme—Right? | WIRED via @kateo,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.8705365061759949}]"
15715367,2019-03-01T22:58:21.000Z,"(2) The answer to this article appears to be ""yesIS possible butdon't care."" It's appalling that companies licenseand other forms offor military applications when they know it'sagainst communities of color.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9996123909950256}]"
953170077892751372,2019-03-01T21:05:10.000Z,"Robots are taking over China’s food service industry and making it better: Robotics are used to standardize a centuries-old cuisine shaping the taste buds of future generations.
",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9557651281356812}]"
816273673162289152,2019-03-01T21:01:51.000Z,"In""social scores"" aim to reward or punish citizens &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;@ArkangelScrap ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9557734727859497}]"
934749505,2019-03-01T21:01:20.000Z,"Robots are taking over China’s food service industry and making it better: Robotics are used to standardize a centuries-old cuisine shaping the taste buds of future generations.

",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9557651281356812}]"
511001249,2019-03-01T21:00:54.000Z,"There’s rising concern over the use ofsoftware by law enforcement border security the military and more. @Microsoft called for new legislation to governsoftware for recognizing faces.

 ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.986483633518219}]"
321428655,2019-03-01T20:50:17.000Z,InMarch 12 come visit our coolspace and learn more about thisinsurance quote solution from @Mike_Schiraldi,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9416337013244629}]"
1903560060,2019-03-01T20:43:52.000Z,Me neither -will more than lose us as individuals our privacy. Populations whole moves will be monitored and eventually managed. This I believe however will be unstoppable. So this restaurant gimmick is just the start!,NEGATIVE,"[{'label': 'POSITIVE', 'score': 0.5143512487411499}]"
998650603516710913,2019-03-01T20:11:39.000Z,Well this isn’t good....,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9997410178184509}]"
76688477,2019-03-01T20:09:42.000Z,GBGplc: We were proudly selected by hmpps to help improve visitor access management in UK prisons. Ourtech provided real-time document authenticationand fingerprint reg to confidently verify theof visitors. Rea… ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9915680289268494}]"
868645594327379968,2019-03-01T19:00:46.000Z,"Amazon joins the ACLU’s call to regulate how police forces employ their facial recognition AI

",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9385077953338623}]"
90896381,2019-03-01T18:27:58.000Z,We were proudly selected by @hmpps to help improve visitor access management in UK prisons. Ourtech provided real-time document authenticationand fingerprint reg to confidently verify theof visitors. Read on: ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9959394931793213}]"
328318014,2019-03-01T18:00:00.000Z,"-Security analytics like automated detection &amp; response
-Interactive experiences like loyalty engagement and checkout

",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9691211581230164}]"
15664534,2019-03-01T17:28:25.000Z,relentless .— listening to Cynthia Basinet,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9641662836074829}]"
718804592973053952,2019-03-01T17:06:40.000Z,Watch: Facial Recognition Tech Aims to Identify Good and Evilvia @WSJ,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.973811149597168}]"
1016774532802043904,2019-03-01T17:00:49.000Z,How @IntelliVision_ is making facial recognition technology more reliable &amp; secure:,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.5153096914291382}]"
1021581527707275269,2019-03-01T16:41:04.000Z,"@sianoresist @Twitter is an immoral dick. See also @facebook @google @amazon. 

You know they're all in it for the money right? They don't give two shits about the First Ammendment.






",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9982560276985168}]"
27076384,2019-03-01T16:31:29.000Z,Great use of facial recognition to stop this horrible humans “Beijing AI Targets “Hospital Scalpers””,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.585515558719635}]"
49873900,2019-03-01T16:04:32.000Z,Earlham Bank 🏦 leverages @IBMWatsonMedia in their banks to make a safe &amp; friendly,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.6538496613502502}]"
114984112,2019-03-01T15:57:35.000Z,"In""social scores"" aim to reward or punish citizens @MikeQuindazzi@ArkangelScrap @HaroldSinnott @alvinfoo @ipfconline1 @ImMBM @jerome_joffre @kalydeoo @kashthefuturist @YuHelenYu ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9843065738677979}]"
210220381,2019-03-01T15:56:52.000Z,"In""social scores"" aim to reward or punish citizens &gt;&gt;&gt; @MikeQuindazzi &gt;&gt;&gt;cc @ArkangelScrap @HaroldSinnott @alvinfoo @ipfconline1 @ImMBM @jerome_joffre@kashthefuturist ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9756096601486206}]"
91194975,2019-03-01T15:42:11.000Z,"Oh you'll pay... With your face! 
 ",NEGATIVE,"[{'label': 'POSITIVE', 'score': 0.935073733329773}]"
93509250,2019-03-01T15:10:44.000Z,"gr8 : When ourcan read our: @Affectiva ’s @gabizij via @techreviewon
 &gt; CONTEXT 4
",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9859488010406494}]"
775781157539614721,2019-03-01T15:00:18.000Z,"We're thrilled to have Colleen Manaher of @CBP take the keynote stage at !

Learn how CBP is leveragingand othertools to make travel more securepreserving and frictionless

 ",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9948082566261292}]"
4437229695,2019-03-01T14:44:53.000Z,What are the ethical considerations surrounding Automated Facial Recognition? We provide evidence to the Biometric and Forensics Ethics Group Facial Recognition Working Group,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.958616316318512}]"
30985855,2019-03-01T13:51:42.000Z,Gun crime suppression efforts are also impacted byandalong with,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9626491069793701}]"
1032934411761672192,2019-03-01T13:41:30.000Z,"@UnityNewsNet @WestYorksPolice seems to be living in the stone age!
 is the answer.
Chinese have turned it into a fine art to crack down on terrorists in Xinjiang.",NEGATIVE,"[{'label': 'POSITIVE', 'score': 0.9972851276397705}]"
718804592973053952,2019-03-01T13:26:25.000Z,Facial Recognition Tech Aims to Identify Good and Evilvia @WSJ,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9401330351829529}]"
571684132,2019-03-01T10:51:35.000Z,Do you know that 's latestauthenticates you via the veins in your hand? Time for Best Tech Stories of the week!,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9963493347167969}]"
4635816740,2019-03-01T10:23:45.000Z,"Your most trusted partner for PCB solutions in China
Applications:
",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9893823862075806}]"
738374720,2019-03-01T09:45:05.000Z,"Innovation is fantasy why not useto identify sick individuals in an animal farm? In China they are trying with pigs. 

Of course it is difficult to create a suitable image dataset to train such ana… ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9991313815116882}]"
1585399543,2019-03-01T08:40:19.000Z,"A step ahead for cash withdrawals security! NEC Corporation has partnered with major Taiwanese bank E.Sun to create ATMs that allow customers to make cash withdrawals through.
",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9984429478645325}]"
