author_id,created_at,text,YM,nltk_sentiment,bert_sentiment,sklearn,sklearn_comp
297397741,2018-01-01T01:45:02.000Z,"Top of mind for health system leaders? Investing in cybersecurity tech and staff

",01/2018,1,1,0.1538461538461538,0.07692307692307693
701207138,2018-01-02T14:03:47.000Z,Facebook expands use of facial recognition to ID users in photos,01/2018,1,1,0.2727272727272727,0.18181818181818182
297397741,2018-01-03T07:10:03.000Z,"What is Windows Hello? Microsoft’s biometrics security system explained


",01/2018,1,0,0.3333333333333333,0.1111111111111111
2937005427,2018-01-05T16:00:28.000Z,Facebook’s new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
33840142,2018-01-05T15:01:28.000Z,Facebook’s new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
2507799980,2018-01-05T12:01:06.000Z,Facebook’s new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
1970402894,2018-01-05T06:09:19.000Z,@NSAGov @FBI Commercial businesses surveillance &amp; . No clone has an after effect of that. I Am Not A Clone ,01/2018,0,0,0.1,0.05
3185607673,2018-01-07T20:42:02.000Z,"Facial recognition isn't limited to the iPhone X. What do you think of this whole new take on loyalty programs?
",01/2018,1,1,0.1,0.05
297397741,2018-01-07T10:40:00.000Z,"This Startup Is UsingTech To Rethink Cyber Security In TheEra

",01/2018,1,0,0.2,0.1
854776158,2018-01-08T21:14:02.000Z,"Refreshing start to the week with a soothing facial peel!
",01/2018,1,1,0.1,0.1
871675827343282177,2018-01-08T18:07:13.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",01/2018,1,1,0.1176470588235294,0.058823529411764705
834844187325513734,2018-01-08T18:05:17.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",01/2018,1,1,0.1176470588235294,0.058823529411764705
32457148,2018-01-08T18:05:17.000Z,"1/ “Top brands like Disney and government services have introduced the technology [] to gauge customer mood.""",01/2018,1,1,0.1176470588235294,0.058823529411764705
32312462,2018-01-08T05:03:41.000Z,Facebook’s new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
23105861,2018-01-08T02:28:06.000Z,FYI when you download your Facebook archive just before trashing your account they provide you with your facial recognition data. How sweet of them!,01/2018,1,0,0.125,0.041666666666666664
153466912,2018-01-09T09:10:00.000Z,’s new facial recognition tool helps users to maintain control of their online identity – via @Forbes  ,01/2018,1,1,0.1764705882352941,0.11764705882352941
920122256365199360,2018-01-10T03:50:56.000Z,Ooma moves into smart home security with face recognition cameras....Nowthe company is expanding into home security with smart devices that useartificial intelligence and face recognition...@Ooma,01/2018,1,1,0.12,0.04
2851586104,2018-01-11T13:47:03.000Z,Facebook's new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
303640627,2018-01-11T13:47:02.000Z,Facebook's new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
1080256214,2018-01-11T13:45:08.000Z,Facebook's new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
1391894126,2018-01-11T13:29:07.000Z,Facebook's new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
2863853651,2018-01-11T13:26:07.000Z,Facebook's new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
209122985,2018-01-11T13:01:01.000Z,Facebook's new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
478568317,2018-01-11T12:49:05.000Z,Facebook's new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
4815112882,2018-01-11T12:44:07.000Z,Facebook's new facial recognition tool helps users maintain control of their online identity – via @Forbes,01/2018,1,1,0.1875,0.1875
