author_id,created_at,text,score
841964200729681920,2018-08-01T23:41:09.000Z,"'Blurred face' news anonymity gets an artificial intelligence spin

 ",POSITIVE
780550675839094784,2018-08-01T23:30:33.000Z,"7Trends in 2018 {Infographic}



",neu
15003048,2018-08-01T23:22:14.000Z,Theis helping to hand deliverto the masses &gt;&gt; @Qualcomm via @MikeQuindazzi &gt;&gt;&gt;&gt;,POSITIVE
83588783,2018-08-01T23:15:09.000Z,Police are getting an upgrade with . Now with a simple app police can identify people withand request an arrest. Find out how it all works:via @fastcompany,NEGATIVE
24317778,2018-08-01T23:10:41.000Z,How often do you see a company calling for the regulation of its products? @Microsoft call for regulation of facial recognition technology ( as Zimbabwe engages CloudWalk to provide mass facial recognition ( ,POSITIVE
120675100,2018-08-01T22:33:11.000Z,"Real-time facial recognition would be a revolutionary policing tool. It’s also terrifying

Lw enforcement agencies are starting to deploy real-timesystems
 and civil rights advocates are concerned
vía @JohnNostavía @NBCNewsMACH ",NEGATIVE
26478168,2018-08-01T22:10:55.000Z,: We will be hosting a series of lunch and learns in FL in AUG. Join Greg Skelly Bill Geraghty CAPP Pete Fagan and Tom Joyce1st sto@Trjoyces County on 8/14 to learn more about how you can use   and ... ,POSITIVE
17879228,2018-08-01T22:03:19.000Z,NYC @MTA not waiting forto mature before collectingvia @WNYCSeeissues addressed by @IEEESAWG ,NEGATIVE
15664534,2018-08-01T21:43:06.000Z,@marinafang @mloudacrisinside information divertsandto the .01% for decades/,neu
39528585,2018-08-01T21:42:53.000Z,Is Congress Full of Crooks? Amazon's Rekognition Software Thinks So!,neu
20194941,2018-08-01T21:39:14.000Z,GuardMyCreditFile: - Is Congress Full of Crooks? Amazon's Rekognition Software Thinks So!via @jmalmberg,neu
15664534,2018-08-01T21:35:07.000Z,@WSJBrought downdon’t ya see .../ all just like me?!is not talent and divertsandto the .01%,POSITIVE
15664534,2018-08-01T21:30:02.000Z,@NBCNews “ is aissue and is not free.”basinetdivertandto the .01%,neu
86666799,2018-08-01T21:16:11.000Z,Amazon's Rekognition System Sees Criminals In Congresson the other hand... ,NEGATIVE
10771782,2018-08-01T21:11:02.000Z,Why computers are so bad at comparing objects - Futurity,NEGATIVE
1020335020228202496,2018-08-01T20:48:45.000Z,"Face Smash: Challenge accepted.
Play now. Available for Android.


 ",POSITIVE
164545254,2018-08-01T20:13:01.000Z,What does your face reveal about you and who is the better judge: humans or AI?,POSITIVE
156568938,2018-08-01T19:58:59.000Z,Malls are beginning to track shoppers with,neu
861611791696228353,2018-08-01T19:50:20.000Z,"Amazon dismisses ACLU criticism of its facial recognition technology with totally different test results.
@BiometricUpdate
",NEGATIVE
861611791696228353,2018-08-01T19:47:30.000Z,"More calls to investigate facial recognition technology.
@BiometricUpdate
",neu
4337144594,2018-08-01T19:45:12.000Z,"Hospitals consultants and tech vendors explain what’s happening now and whereare headed.



",neu
10771782,2018-08-01T19:21:01.000Z,Global AI in Computer Visio n Market Evolving Industry Trends and Key Insights by 2024 - Detroit News 24,neu
17393008,2018-08-01T19:15:25.000Z,via @evankirstel: Malls are beginning to track shoppers with,neu
35203319,2018-08-01T19:15:12.000Z,Malls are beginning to track shoppers with,neu
30344534,2018-08-01T19:05:17.000Z,? Polycom spent years developingsuch astriangulation face finding and dualconfigs to perfect the user experience:,POSITIVE
16228337,2018-08-01T19:03:00.000Z,"""Letter signed by @JerryNadler @RonWyden @CoryBooker @ChrisCoons @EdMarkey asks @USGAO 'whether commercial entities sellingaudit use of tech to ensure ...[it doesn't] raise privacy civil rights and civil liberties concerns:'""

",POSITIVE
296728882,2018-08-01T19:02:46.000Z,The only thing that’s “dangerously inaccurate” is this continual irresponsible and deliberate misrepresenting of the facts around . At this time of heightened knife and street crime and the threat of terrorism you’re a clear danger to public safety. ,NEGATIVE
58418015,2018-08-01T18:54:19.000Z,"UK police are increasingly using automated facial recognition on CCTV footage to identify persons of interest.
",POSITIVE
35813792,2018-08-01T18:34:00.000Z,definitely has a ways to go but didget this one right?,POSITIVE
764198516520579072,2018-08-01T18:26:40.000Z,Democrats Askto StudyTechnology ,neu
29526514,2018-08-01T18:19:43.000Z,"THE FUTURE OF AI FACIAL RECOGNITION TECHNOLOGY = REGULATION
Microsoft President calls for regulation of facial recognition technology. What's behind this?

 ",neu
12507792,2018-08-01T18:04:48.000Z,"Might ""Big Brother"" be coming soon? 
",neu
2249121151,2018-08-01T17:42:00.000Z,Face recognition screens egg donors so your child will look like you @NewScientist,POSITIVE
17392332,2018-08-01T17:28:36.000Z,Senators to GAO: Time to investigate.@face_crunch @SecureSelfies @Zenusinc @springwind2018 @DevPhotobooth @piximateapp,neu
1018723811993112577,2018-08-01T17:23:50.000Z,Facial recognition is helping farmers to assess crop health and identify animals.,POSITIVE
996785311286898688,2018-08-01T17:11:17.000Z,ACMLarry: Amazon Face Recognition Falsely Matches 28 Lawmakers With Mugshots ACLU Says,POSITIVE
19998849,2018-08-01T17:11:01.000Z,'Dangerously inaccurate' and authoritariantechnology hit by legal challenge on eve of London trial@bbw1984 @GreenJennyJones ,NEGATIVE
10771782,2018-08-01T17:08:03.000Z,10 Successful Applications Of AI In Business,POSITIVE
1152015530,2018-08-01T17:07:16.000Z,Amazon Face Recognition Falsely Matches 28 Lawmakers With Mugshots ACLU Says,POSITIVE
31271055,2018-08-01T16:59:11.000Z,Artificial intelligence can accurately predict your personality by scanning your eyes: Machine-learning algorithms demonstrate links between eye movements &amp; 4 of the big 5 personality traits.@ABoipc,POSITIVE
291785111,2018-08-01T16:49:04.000Z,Amazon’smatched 28 members of Congress to criminal mugshots,NEGATIVE
912695306554368001,2018-08-01T16:41:26.000Z,'s improvedtech aims for inclusion... ,neu
912695306554368001,2018-08-01T16:15:54.000Z,Microsoft's improved facial recognition tech aims for inclusion |,POSITIVE
83588783,2018-08-01T16:01:24.000Z,It is not just guests who get to useinsecurity. Staff are now required to useto enter secure locations within the airport. Discover how staff are integrating safety.via @The_RiotACT,POSITIVE
291785111,2018-08-01T15:58:04.000Z,Beijing’s Big Brother Tech Needs African Faces,neu
2891059843,2018-08-01T15:49:47.000Z, following up withmall usingsoftware ,neu
917305795,2018-08-01T15:36:22.000Z,Rekognition software is surveillance gone too far and it won’t keep the public safe - rather it will put communities of color in danger.via @aclu ,POSITIVE
157075236,2018-08-01T14:42:38.000Z,"TODAY: Saving Capitalism +
",neu
900300126312333312,2018-08-01T14:01:38.000Z,@Interpol is now usingtechnology to track down the convicted sex offender who is a key suspect in the brutal murder of Co Limerick pensioner Rosie Hanrahan. Lets hope that the offender of this terrible crime is caught soon,NEGATIVE
192666974,2018-08-01T13:43:45.000Z,I'm no longer certain I'm down with this wholerevolution.,NEGATIVE
17601852,2018-08-01T13:40:01.000Z, Calls for Regulation to AddressIssues--Will Others Follow? ,neu
1436070643,2018-08-01T13:28:38.000Z,Canbe used to assess personalty? The old aggressive @RichOnFilm finds out thatsystems can be biased as he gazes into the Biometric Mirror.via @nwtls,NEGATIVE
1011604134846500868,2018-08-01T13:22:10.000Z,"Interesting take on recent @ACLUnews re: IDing members of Congress. 

More discussion needed about whether law enforcement's ubiquitous use of facial recognition would be worthwhile even IF it were 100% accurate. 

It raises serious safety/civil liberty issues ",POSITIVE
4855405122,2018-08-01T13:05:05.000Z,Isthe Most PowerfulElement? via @B2Community,neu
22194854,2018-08-01T12:30:28.000Z,"Democrats call for federal review ofby Government Accountability Office.



This follows the @ACLU report on problems with Amazon's facial recognition system.

 by @snowjake",NEGATIVE
41330386,2018-08-01T11:30:23.000Z,Use @OceanOutdoorUK's exclusivetechnology to deliver engaging messages to last minutemale shoppers. ,POSITIVE
18374768,2018-08-01T11:30:16.000Z,"Our test usedto compare images of members of Congress with a database of.

The results included 28 incorrect matches. 




 ",neu
486253385,2018-08-01T11:30:13.000Z,"raised over $650m in July$3.7b in the first seven months of 2018!

",neu
18982486,2018-08-01T11:29:53.000Z,Reporters on @660NEWS this AM: @Kaitlin_Lee onBlanchard speaks to privacy commissioner's office aboutCarney on,neu
43266236,2018-08-01T11:20:54.000Z,"Big Brother i watching -needsregulations
Will facial recognition software make the world a safer place or will it make the marginalized more vulnerable?



 Photo - Courtesy -",POSITIVE
956436217163231232,2018-08-01T10:04:30.000Z,Alibaba debuts ‘smile to pay’ facial recognition payments at KFC in China,neu
50636347,2018-08-01T09:52:08.000Z,Don’t ban : regulate it to provide the right safeguards. @BillMew explains that it's not realistic to seek to ban the technology. Instead we need to ensure that there are safeguards in place for its responsible and ethical use,POSITIVE
50636347,2018-08-01T09:39:22.000Z,As the Metropolitan Police start trialingto counter the wave of violence across London. @BillMew calls for judicial supervision &amp; oversight to ensure ethical and appropriate use and further development to improve effectiveness,POSITIVE
111905557,2018-08-01T09:38:13.000Z,"Marcus Stefanelli @ModArtIsRubbish discussing aspects of our show and other interesting Artist - 
",POSITIVE
2613682580,2018-08-01T09:15:38.000Z," will introduce new-age retail to theindustry withand ! This will transform the current e-commerce landscape by blending online and offline shopping to create a seamless experience.
Read:",POSITIVE
289747838,2018-08-01T09:11:40.000Z,"Learn how facial recognition can maximize student performance. Check out our blog post on FRT &amp; education. What are your thoughts on facial recognition technology in schools? 


",neu
2858812331,2018-08-01T09:04:20.000Z, meets .systems will soon process and simulate human . A combination ofpattern analysisis already used forand political . ,neu
205109688,2018-08-01T09:00:52.000Z,At least two malls inare usingto track shoppers' ages and genders w/o telling,neu
1409726425,2018-08-01T08:52:42.000Z,"8 problems that can be easily solved by 
 via @MarutiTech


@alvinfoo @IIoT_World @robvank @vinod1975 @TopCyberNews @ingliguori @enricomolinari ",POSITIVE
1017330687983026176,2018-08-01T08:46:13.000Z,"
@ULSee2 face detection can track the drivers face features to confirm driver's identity even some part of the face is covered.",neu
1434650790,2018-08-01T08:32:41.000Z,10 Successful Applications OfInvia @forbes,POSITIVE
281940682,2018-08-01T08:32:12.000Z,⁦@AmazonUK⁩looks a littleaccording to this report ... ,neu
310805588,2018-08-01T08:00:50.000Z,Amazon’s facial recognition tech leads to mismatches intest @EandTmagazine,neu
42249397,2018-08-01T07:00:26.000Z,Facial Recognition- good or bad?,NEGATIVE
718804592973053952,2018-08-01T02:08:53.000Z,"As facial recognition templates become more -aware it is likely recognition accuracy will decrease.
(Mindful that current accuracy rates need improvement)
 via @marketwatch",POSITIVE
718804592973053952,2018-08-01T02:06:36.000Z,"""As you begin to modify face images [by removing] info related to age gender ethnicity etc. it is likely that the [remaining] face image may not be suitable for [] at a 100% level. That is the research conundrum that we are dealing with'
",neu
809689194,2018-08-01T02:00:17.000Z,"Facial recognition gives police a powerful new tracking tool. 
",POSITIVE
536999836,2018-08-01T01:30:10.000Z,Could be useful tool as long as there are safeguards if you're not convinced wear a mask --&gt; Facial recognition gives police a powerful new tracking tool. It’s also raising alarms.via @nbcnews,POSITIVE
