author_id,created_at,text,score,bert
16476911,2018-04-01T23:00:08.000Z, technology 'could prevent future terror attacks' - ,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.8224599361419678}]"
4159048754,2018-04-01T22:18:01.000Z,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9690659642219543}]"
296728882,2018-04-01T18:30:25.000Z,It’s inevitable thatcrowd analytics and liveare going to makesafer for all. Not only can they combat hooliganismand evenbut the same system can even deliverticketing.,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9994074106216431}]"
2582922301,2018-04-01T17:27:45.000Z,10 Customer Experience Implementations Of Artificial Intelligence !,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.6355472803115845}]"
2571340243,2018-04-01T16:04:22.000Z,A great chance to learn how to increase your privacy for facial recognition technology!@momaps1 ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9991710186004639}]"
203824292,2018-04-01T15:00:28.000Z,China’s Face-Scanning Craze - The Atlantic,NEGATIVE,"[{'label': 'POSITIVE', 'score': 0.9308802485466003}]"
297397741,2018-04-01T07:00:04.000Z,"Biometrics beatbut cling to an old and risky concept

",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.7902183532714844}]"
20269476,2018-04-01T03:32:42.000Z,Brilliant! Alipay and Alibaba integrated with facial recognition and payments.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995927214622498}]"
707307657271574528,2018-04-02T22:28:18.000Z,Facial recognition technology can now text jaywalkers a fine,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9990419745445251}]"
15103213,2018-04-02T22:02:00.000Z,How Coders Are Fighting Bias inSoftware ,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.992687463760376}]"
967541386517020674,2018-04-02T21:41:49.000Z,This story sounds like similar to store employees may have been reporting inaccurate customer related problems/incidents to shared database(s) which may be used by many stores/businesses for security reasons.,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9995347261428833}]"
1536103471,2018-04-02T21:11:41.000Z,"While you're browsing in athe shop is browsing you 

@smh 


",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.5003108382225037}]"
595479894,2018-04-02T20:30:25.000Z,"[] 
If You Jaywalk in China Facial Recognition Means You'll Walk Away With A Fine 
 via @FuturismIf You 


",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9961183071136475}]"
2356982959,2018-04-02T20:08:19.000Z,Secure Planet releases real-timesolution ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9986562728881836}]"
518238327,2018-04-02T20:05:08.000Z,Secure Planet releases real-timesolution ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9986562728881836}]"
242231465,2018-04-02T19:51:00.000Z,How coders are fighting bias insoftware,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.992687463760376}]"
15785718,2018-04-02T19:04:01.000Z,For stadiums theme parks or airports you need to move the crowd efficiently and safely.NeoFace Express provides a frictionless and secure way to get people in their seats to enjoy the game roller coaster or plane ride.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997678399085999}]"
68506521,2018-04-02T18:59:02.000Z,Anti-surveillance apparel hides face from facial recognition softwareInundate the algorithm with what it wants: love it,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9690659642219543}]"
4869453844,2018-04-02T18:12:07.000Z,By 2020will have completed its nationwideand surveillance network achieving near-total surveillance of urban residents including in their homes via smart TVs and smartphones,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9885340332984924}]"
2976197609,2018-04-02T14:42:00.000Z,Worried about&amp; children? It has its nobel uses as well--incl. more timely diagnoses of rare diseases &amp; common genetic disorders.,NEGATIVE,"[{'label': 'POSITIVE', 'score': 0.5011569857597351}]"
264340308,2018-04-02T13:09:27.000Z,"Who would have thought that 1965classic ""Nowhere To Run"" by Martha and the Vandellaswould be predictor of explosion oftechnology! Very simple code to now play w/ @googlechrome recognition API.",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9953299760818481}]"
2735123138,2018-04-02T10:34:02.000Z,"Interesting list ofuse cases especially in public areas. Slow but surely going beyondface ID!
via @Entrepreneur @campionemr
 ",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.5688768625259399}]"
