author_id,tweet,nltk_outcome,bert_outcome
1379292876,In 2006 I wrote a paper on- about how the border becomes carried by the body.technology twins immigration control with policing of women’s bodies. It will drive the most vulnerable to the riskiest spaces. ,0,1
701609524038389764,These past &amp; present chronicles of injustice highlight howsystems can disproportionately harm ppl already historically subject 2 profiling &amp; abuse inclPOC political activists &amp; the formerly incarcerated. ,0,1
15221598, To Be Deployed At Top 20 US Airports -- Should You Be Concerned?(Forbes),1,0
600285139,"Looking atand it's teachers' and students' legacies is helpful when considering new tech likeEvenWhat will be the impact? 
Does it generate winners &amp; losers? Could impacts occur generation later?",1,0
1011170203957432320,"Simple tricks to deter burglars while you are on holiday.

For details Call: +91 9830041251 / +91 9748403828

",1,0
14304930,One of the cool things about the San Franciscoban is that the police basically weren’t using it. So you’ve stopped a potentially bad future thing from happening (good) while “somehow” everyone seems to think you’ve stopped the many current dystopian uses.,0,1
1112176809834135552,"Apple wins patent for automatic retrying of a failed facial recognition authentication process 

",1,0
375046603,.@guardian usage in an article on(lots of interest in this subject) picture taken at .@metpoliceuk trial inthanks to .@AlamyNews&amp; .@alamy,1,0
4891894462,AndAre Battling To SellTechnology In Dubai ,0,1
808051518242979841," created by researchers at @techreview pulls off a staggering feat:!!

By analyzing only a short audio clip of a person’s voice it reconstructs what they might look like in real life.

@craigbrownphd @evankristel @IBMAnalytics 
",1,0
91349543,What do you understand about the words World Wide Web or Internet? Read share comment :,1,0
552611280,"Amazon wants you to know that its facial recognition software can be used to monitor a woman’s smile percentage. 

This software is already being using by police forces and private corporations across the nation. 

 ",1,0
802246546607644672,"What isand why is it so ? 

🔹
🔹
🔹

 via @YahooFinance",1,0
3065105775,"@realDonaldTrump issued an executive order that Facial Recognition be used in the top 20 U.S. airports for ""100% of all international passengers by 2021.
Universal Power (UPIN) the exclusive North American distributor for .

$UPIN
 ",1,0
1129769750,Addressing false positives as one of the key issues w/&amp;application on(for )'M.I.T. Media Lab and the A.C.L.U. have both conducted studies that show flaws with how facial recognition identifies..' ,1,0
2586135432,Schools across the United States are considering adoptingfor- but will it be effective? @BrendaKLeong weighs in:,1,0
121537658,"With new technologies comes change that people aren’t always ready for. So tell us how do you feel about facial recognition technologies in the workplace?

 

 ",1,0
15221598, has to be regulated to protect the public saysreport.(MIT Technology Review),1,0
18843840,"“critics said that rather than focusing on bans the city should find ways to craftthat acknowledge the usefulness of face recognition.”

&amp; 
 &amp; 

",1,0
18843840,-savvybans a crime- fighting tool:,0,1
50636347, advocates sound warning on Toronto police use oftechnology -,0,1
3635837595,"@VoxBec Horribleuse case but good harm prevention case study on&amp;+at play: 

Dearask IF the tools you want to build should even exist",1,0
2693251128,"Vice's article featured Hartford CT's sophisticated camera surveillance system. While I've discussed thein harms fromit's important to highlight the same tech's success: breaking news of Fotis Dulos caught by these cameras.
",1,0
15634664,@insistondoubt @mattzook We didn't discuss it yet but given the horrible ways / violent surveillance / truly evil imprisonment of thepeople this makes complete sense. So much more to discuss.,0,1
711278232742596608,"I just got an appeal from @CREDOMobile wanting me to sign a petition to demand @JetBlue not usefor flight boarding security.

I can't think of a more logical use of this technology where positive ID is needed anyway.

Who comes up with such silly campaigns? ",1,0
855111428403023872,"By usingtechnology an automated system has been developed that can predict unsafe behaviour of patients in the intensive care unit (ICU) such as accidentally removing their breathing tube:

",1,0
77601304,"Take The Time to listen to this podcast ontechnology w @dhowell + @b_haddy.
yes even if u think “but i have nothing to hide” ",1,0
3239316578,Scary,0,1
276209711,Join me in speaking out againsttechnology. Tell @JetBlue to end its biometric boarding program.,1,0
4040534960,"China’s ability to monitor its citizens online activities and use oftechnology has conjured up a nightmare of anstate. Are private companies enablng theto do same?
Beijing Berlin and the two 1989svia @financialtimes",1,0
73363692,"Data biases will play a major role in thisproject. How will the ai decide who is a civilian and who is an aggressor? Mergingprofiles?

@kenarchy97 ideas?

",1,0
781436153228566528,"“An abundance of data is overwhelming intelligence analysts and law enforcement officials across the globe. Without immediate action to get ahead of this challenge our national security will fall behind.”
 
",1,0
1874798778,"Facial recognition technology used to monitor patient safety in ICU 

",1,0
1074210385937485825,Will the next genbe equipped with advanced camera-based capabilities such as automatic target recognition target tracking and ? ,1,0
1065618049649254402,The abortion bans are nothing more than an effort to overturn thethat preventfrom usingsoftware against citizens. Nobody is going to mobilize againstif you say “We want to usesoftware!”.... ,1,0
1025216446731837442,"Retail payments getting easier !!
",1,0
1116386471454183425,"Because in this year i feeldont belive my self 🙄
Ok


 H-2 

 ",1,0
2253116190,"As the aviation industry prepares for air traffic to double by 2035 many airports have taken to One ID to make travel more efficient for passengers. But is it deployed fast enough? @IATA to propose resolution at AGM. 

",1,0
38804101,"""...advocates are concerned about the widespread use ofparticularly when the limits and regulations for theare unclear.""

",0,1
312149882,Do You Feel Safer Knowing the FBI Has Access To 640 Million (!) Headshots?via @reason ,1,0
77312459,". @CheckpointMF teams up with @IDscan_net forprevention services for property managers security guards and other people monitoring multi-unit apartment buildings. 



",1,0
15664534,@yashririfenty @PopCrave @Forbes @rihanna Look familiar?! Yeppersdivertingandto theirvia. Now don't forget the flash to !it cost the independent Spirit ofand ,1,0
2800062818,Thought provoking interview... use of facial recognition needs to be a political decision informed by what the public want.,0,1
2356982959, considersto reduce health insurance fraud ,0,1
518238327, considersto reduce health insurance fraud ,0,1
979453825214906368,@TanniDe @LynnShawProd @therealroseanne @Hildek91725733 @JanaGra14036013 @Solmemes1 Hey @LynnShawProd...tell @LionelMedia he needs to do a piece on . Think of ALL the people lining up to hand over their facial identities. The don't realize that theirdata is a hot commodity.😲,1,0
979453825214906368,"@TanniDe @LynnShawProd @therealroseanne @Hildek91725733 @JanaGra14036013 @Solmemes1 ? ...wtf...this does NOT surprise me one bit. 

FREE app? Yeah right. How much you wanna bet they're collecting all the ""before"" and ""after"" pics that the users gave up their rights to...when they clicked the ""agreement"" button. 🧐 ",1,0
60705407,"Breaking911 on
FOURTH AMENDMENT. 
And AOC?!?! 
Antifa May be identified. Illegals in schools? Resist protesters at risk without warrant! 

CANT MAKE IT UP! 

At least we agree on this👉👉PRIVACY MATTERS. 


 ",1,0
