author_id,created_at,text,score,bert
841964200729681920,2018-08-01T23:41:09.000Z,"'Blurred face' news anonymity gets an artificial intelligence spin

 ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9946961402893066}]"
15003048,2018-08-01T23:22:14.000Z,Theis helping to hand deliverto the masses &gt;&gt; @Qualcomm via @MikeQuindazzi &gt;&gt;&gt;&gt;,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9944319128990173}]"
83588783,2018-08-01T23:15:09.000Z,Police are getting an upgrade with . Now with a simple app police can identify people withand request an arrest. Find out how it all works:via @fastcompany,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9852011799812317}]"
24317778,2018-08-01T23:10:41.000Z,How often do you see a company calling for the regulation of its products? @Microsoft call for regulation of facial recognition technology ( as Zimbabwe engages CloudWalk to provide mass facial recognition ( ,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9973881840705872}]"
120675100,2018-08-01T22:33:11.000Z,"Real-time facial recognition would be a revolutionary policing tool. It’s also terrifying

Lw enforcement agencies are starting to deploy real-timesystems
 and civil rights advocates are concerned
vía @JohnNostavía @NBCNewsMACH ",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9786770343780518}]"
26478168,2018-08-01T22:10:55.000Z,: We will be hosting a series of lunch and learns in FL in AUG. Join Greg Skelly Bill Geraghty CAPP Pete Fagan and Tom Joyce1st sto@Trjoyces County on 8/14 to learn more about how you can use   and ... ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9844692349433899}]"
17879228,2018-08-01T22:03:19.000Z,NYC @MTA not waiting forto mature before collectingvia @WNYCSeeissues addressed by @IEEESAWG ,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9899682402610779}]"
15664534,2018-08-01T21:35:07.000Z,@WSJBrought downdon’t ya see .../ all just like me?!is not talent and divertsandto the .01%,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9996533393859863}]"
86666799,2018-08-01T21:16:11.000Z,Amazon's Rekognition System Sees Criminals In Congresson the other hand... ,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9965841770172119}]"
10771782,2018-08-01T21:11:02.000Z,Why computers are so bad at comparing objects - Futurity,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9996821880340576}]"
1020335020228202496,2018-08-01T20:48:45.000Z,"Face Smash: Challenge accepted.
Play now. Available for Android.


 ",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.817908763885498}]"
164545254,2018-08-01T20:13:01.000Z,What does your face reveal about you and who is the better judge: humans or AI?,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9894829392433167}]"
861611791696228353,2018-08-01T19:50:20.000Z,"Amazon dismisses ACLU criticism of its facial recognition technology with totally different test results.
@BiometricUpdate
",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9974234104156494}]"
30344534,2018-08-01T19:05:17.000Z,? Polycom spent years developingsuch astriangulation face finding and dualconfigs to perfect the user experience:,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.987895131111145}]"
16228337,2018-08-01T19:03:00.000Z,"""Letter signed by @JerryNadler @RonWyden @CoryBooker @ChrisCoons @EdMarkey asks @USGAO 'whether commercial entities sellingaudit use of tech to ensure ...[it doesn't] raise privacy civil rights and civil liberties concerns:'""

",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9983159303665161}]"
296728882,2018-08-01T19:02:46.000Z,The only thing that’s “dangerously inaccurate” is this continual irresponsible and deliberate misrepresenting of the facts around . At this time of heightened knife and street crime and the threat of terrorism you’re a clear danger to public safety. ,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9988677501678467}]"
58418015,2018-08-01T18:54:19.000Z,"UK police are increasingly using automated facial recognition on CCTV footage to identify persons of interest.
",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9909532070159912}]"
35813792,2018-08-01T18:34:00.000Z,definitely has a ways to go but didget this one right?,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.8363338112831116}]"
2249121151,2018-08-01T17:42:00.000Z,Face recognition screens egg donors so your child will look like you @NewScientist,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.973494291305542}]"
1018723811993112577,2018-08-01T17:23:50.000Z,Facial recognition is helping farmers to assess crop health and identify animals.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9965677261352539}]"
996785311286898688,2018-08-01T17:11:17.000Z,ACMLarry: Amazon Face Recognition Falsely Matches 28 Lawmakers With Mugshots ACLU Says,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9993756413459778}]"
19998849,2018-08-01T17:11:01.000Z,'Dangerously inaccurate' and authoritariantechnology hit by legal challenge on eve of London trial@bbw1984 @GreenJennyJones ,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9991858601570129}]"
10771782,2018-08-01T17:08:03.000Z,10 Successful Applications Of AI In Business,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997156262397766}]"
1152015530,2018-08-01T17:07:16.000Z,Amazon Face Recognition Falsely Matches 28 Lawmakers With Mugshots ACLU Says,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9993377327919006}]"
31271055,2018-08-01T16:59:11.000Z,Artificial intelligence can accurately predict your personality by scanning your eyes: Machine-learning algorithms demonstrate links between eye movements &amp; 4 of the big 5 personality traits.@ABoipc,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9500962495803833}]"
291785111,2018-08-01T16:49:04.000Z,Amazon’smatched 28 members of Congress to criminal mugshots,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9938098788261414}]"
912695306554368001,2018-08-01T16:15:54.000Z,Microsoft's improved facial recognition tech aims for inclusion |,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.980407178401947}]"
83588783,2018-08-01T16:01:24.000Z,It is not just guests who get to useinsecurity. Staff are now required to useto enter secure locations within the airport. Discover how staff are integrating safety.via @The_RiotACT,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.5864347815513611}]"
917305795,2018-08-01T15:36:22.000Z,Rekognition software is surveillance gone too far and it won’t keep the public safe - rather it will put communities of color in danger.via @aclu ,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.999681830406189}]"
900300126312333312,2018-08-01T14:01:38.000Z,@Interpol is now usingtechnology to track down the convicted sex offender who is a key suspect in the brutal murder of Co Limerick pensioner Rosie Hanrahan. Lets hope that the offender of this terrible crime is caught soon,NEGATIVE,"[{'label': 'POSITIVE', 'score': 0.6933967471122742}]"
192666974,2018-08-01T13:43:45.000Z,I'm no longer certain I'm down with this wholerevolution.,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9993365406990051}]"
1436070643,2018-08-01T13:28:38.000Z,Canbe used to assess personalty? The old aggressive @RichOnFilm finds out thatsystems can be biased as he gazes into the Biometric Mirror.via @nwtls,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9952743053436279}]"
1011604134846500868,2018-08-01T13:22:10.000Z,"Interesting take on recent @ACLUnews re: IDing members of Congress. 

More discussion needed about whether law enforcement's ubiquitous use of facial recognition would be worthwhile even IF it were 100% accurate. 

It raises serious safety/civil liberty issues ",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.8467804193496704}]"
22194854,2018-08-01T12:30:28.000Z,"Democrats call for federal review ofby Government Accountability Office.



This follows the @ACLU report on problems with Amazon's facial recognition system.

 by @snowjake",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9925345182418823}]"
41330386,2018-08-01T11:30:23.000Z,Use @OceanOutdoorUK's exclusivetechnology to deliver engaging messages to last minutemale shoppers. ,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9822927117347717}]"
43266236,2018-08-01T11:20:54.000Z,"Big Brother i watching -needsregulations
Will facial recognition software make the world a safer place or will it make the marginalized more vulnerable?



 Photo - Courtesy -",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.998138427734375}]"
50636347,2018-08-01T09:52:08.000Z,Don’t ban : regulate it to provide the right safeguards. @BillMew explains that it's not realistic to seek to ban the technology. Instead we need to ensure that there are safeguards in place for its responsible and ethical use,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9988495111465454}]"
50636347,2018-08-01T09:39:22.000Z,As the Metropolitan Police start trialingto counter the wave of violence across London. @BillMew calls for judicial supervision &amp; oversight to ensure ethical and appropriate use and further development to improve effectiveness,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.765110433101654}]"
111905557,2018-08-01T09:38:13.000Z,"Marcus Stefanelli @ModArtIsRubbish discussing aspects of our show and other interesting Artist - 
",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9907525777816772}]"
2613682580,2018-08-01T09:15:38.000Z," will introduce new-age retail to theindustry withand ! This will transform the current e-commerce landscape by blending online and offline shopping to create a seamless experience.
Read:",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997386336326599}]"
1409726425,2018-08-01T08:52:42.000Z,"8 problems that can be easily solved by 
 via @MarutiTech


@alvinfoo @IIoT_World @robvank @vinod1975 @TopCyberNews @ingliguori @enricomolinari ",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9969459176063538}]"
1434650790,2018-08-01T08:32:41.000Z,10 Successful Applications OfInvia @forbes,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9993419051170349}]"
42249397,2018-08-01T07:00:26.000Z,Facial Recognition- good or bad?,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9942933320999146}]"
718804592973053952,2018-08-01T02:08:53.000Z,"As facial recognition templates become more -aware it is likely recognition accuracy will decrease.
(Mindful that current accuracy rates need improvement)
 via @marketwatch",POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9996602535247803}]"
809689194,2018-08-01T02:00:17.000Z,"Facial recognition gives police a powerful new tracking tool. 
",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9996213912963867}]"
536999836,2018-08-01T01:30:10.000Z,Could be useful tool as long as there are safeguards if you're not convinced wear a mask --&gt; Facial recognition gives police a powerful new tracking tool. It’s also raising alarms.via @nbcnews,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.987806499004364}]"
169980250,2018-08-01T01:24:59.000Z,@IT_Creations Thank you for this great review.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
13543842,2018-08-01T01:05:01.000Z, Responds to's Highly Critical Report ofTech -gets better every year but is it still too early to fully adopt the technology? |,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9993768334388733}]"
1662485388,2018-08-02T22:42:26.000Z,Lawmakers Can't Ignore Facial Recognition's Bias Anymore –– … via @WIRED,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9420568346977234}]"
2196184676,2018-08-02T22:08:20.000Z,RT MikeQuindazzi : By 2025 themarket is estimated to reach $26.2 billion! &gt;&gt; tractica via MikeQuindazzi &gt;&gt;… ,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.9761680960655212}]"
17393008,2018-08-02T22:03:07.000Z,By 2025 themarket is estimated to reach $26.2 billion! &gt;&gt; @tractica via @MikeQuindazzi &gt;&gt;&gt;&gt;,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.7979618906974792}]"
2344530218,2018-08-02T22:03:03.000Z,By 2025 themarket is estimated to reach $26.2 billion! &gt;&gt; @tractica via @MikeQuindazzi &gt;&gt;&gt;&gt;,POSITIVE,"[{'label': 'NEGATIVE', 'score': 0.7979618906974792}]"
15003048,2018-08-02T21:53:31.000Z,Theis helping to hand deliverto the masses &gt;&gt; @Qualcomm via @MikeQuindazzi &gt;&gt;&gt;&gt;,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9944319128990173}]"
