author_id,created_at,text,score
841964200729681920,2018-08-01T23:41:09.000Z,"'Blurred face' news anonymity gets an artificial intelligence spin

 ",POSITIVE
15003048,2018-08-01T23:22:14.000Z,Theis helping to hand deliverto the masses &gt;&gt; @Qualcomm via @MikeQuindazzi &gt;&gt;&gt;&gt;,POSITIVE
83588783,2018-08-01T23:15:09.000Z,Police are getting an upgrade with . Now with a simple app police can identify people withand request an arrest. Find out how it all works:via @fastcompany,NEGATIVE
24317778,2018-08-01T23:10:41.000Z,How often do you see a company calling for the regulation of its products? @Microsoft call for regulation of facial recognition technology ( as Zimbabwe engages CloudWalk to provide mass facial recognition ( ,POSITIVE
120675100,2018-08-01T22:33:11.000Z,"Real-time facial recognition would be a revolutionary policing tool. It’s also terrifying

Lw enforcement agencies are starting to deploy real-timesystems
 and civil rights advocates are concerned
vía @JohnNostavía @NBCNewsMACH ",NEGATIVE
26478168,2018-08-01T22:10:55.000Z,: We will be hosting a series of lunch and learns in FL in AUG. Join Greg Skelly Bill Geraghty CAPP Pete Fagan and Tom Joyce1st sto@Trjoyces County on 8/14 to learn more about how you can use   and ... ,POSITIVE
17879228,2018-08-01T22:03:19.000Z,NYC @MTA not waiting forto mature before collectingvia @WNYCSeeissues addressed by @IEEESAWG ,NEGATIVE
15664534,2018-08-01T21:35:07.000Z,@WSJBrought downdon’t ya see .../ all just like me?!is not talent and divertsandto the .01%,POSITIVE
86666799,2018-08-01T21:16:11.000Z,Amazon's Rekognition System Sees Criminals In Congresson the other hand... ,NEGATIVE
10771782,2018-08-01T21:11:02.000Z,Why computers are so bad at comparing objects - Futurity,NEGATIVE
1020335020228202496,2018-08-01T20:48:45.000Z,"Face Smash: Challenge accepted.
Play now. Available for Android.


 ",POSITIVE
164545254,2018-08-01T20:13:01.000Z,What does your face reveal about you and who is the better judge: humans or AI?,POSITIVE
861611791696228353,2018-08-01T19:50:20.000Z,"Amazon dismisses ACLU criticism of its facial recognition technology with totally different test results.
@BiometricUpdate
",NEGATIVE
30344534,2018-08-01T19:05:17.000Z,? Polycom spent years developingsuch astriangulation face finding and dualconfigs to perfect the user experience:,POSITIVE
