author_id,created_at,text,score
2947983175,2018-11-01T23:51:09.000Z,"
Were here folks ~ &amp; there's no escape

",NEGATIVE
116231444,2018-11-01T23:07:35.000Z,"@TechCrunch @lucasmtny Hmm maybe because all numbers have dropped significantly sincestarted asking foror Fingerprints to be able to make any transactions with them. Believe it or not most people in the Real World still Value their . 
 4 China ",POSITIVE
16958077,2018-11-01T21:29:08.000Z,.@emirates to launch world-firstat @DubaiAirportsproviding a streamlined airport journey for passengers from check-in toboarding. The innovative new system usessuch as...,POSITIVE
9959322,2018-11-01T19:47:51.000Z," shows to bring benefits tofighting against crime due to finance cuts it lacks in effectiveness in reducing gun crimes andprediction bias
@Forbes ",NEGATIVE
2800599859,2018-11-01T18:59:02.000Z,10 Top Strategic Predictions for 2019 -,POSITIVE
353307210,2018-11-01T18:32:32.000Z,"@jblefevre60 @kashthefuturist @evankirstel @diioannid @Paula_Piccard @mclynd @SpirosMargaris @ipfconline1 @JacBurns_Comext @LouisSerge @jerome_joffre @HaroldSinnott @ahier @rajat_shrimal @kalydeoo @HITpol @sallyeaves wow

HT @kashthefuturist",POSITIVE
4374719908,2018-11-01T18:16:36.000Z,"China's powerful surveillance system!

HT @kashthefuturist

@evankirstel @diioannid @Paula_Piccard @mclynd @diioannid @SpirosMargaris @ipfconline1 @JacBurns_Comext @LouisSerge @jerome_joffre @HaroldSinnott @ahier @rajat_shrimal @kalydeoo @HITpol @sallyeaves ",POSITIVE
277285255,2018-11-01T17:46:26.000Z,"This project is gaining traction at a rapid pace.

_Learning",POSITIVE
794190350936109057,2018-11-01T17:32:07.000Z,"Piratenpartei RT PirateSecon: High-Tech Schoolpowered byandto make schools a better and safer place. That‘s what is promised to happen. In reality it is not that easy.

 ",POSITIVE
15787308,2018-11-01T17:30:00.000Z,"Another day another step to a full boycott of @amazon.They providetoand are actively bidding to help the empire/pentagon run AI systems.

Instead of going to @WholeFoods I bought myveggies at local market @growdtla",POSITIVE
400419867,2018-11-01T17:23:22.000Z,"They should just check for safety cameras etc. it is necessary 
As long as his profile is clear.
Why it is necessary to implement&amp;scans
BUT they should not take his head wear.
Respect to.
is a must. ",POSITIVE
968981132816478208,2018-11-01T17:00:28.000Z,Turn off Facebook's facial recognition feature in 5 easy steps:|,POSITIVE
13967482,2018-11-01T17:00:03.000Z,As more industries begin to reap the benefits ofandshould be incorporated as a means of optimizing this technology and closing the remaining gap. See more:,POSITIVE
967541386517020674,2018-11-01T16:37:19.000Z,I wish this kind of systems was used for detecting bad behaviors of the obsessed store employee who reported incorrect info about me &amp; told other employee that I wouldn't speak up for myself &amp; ok to harass me at their stores!,NEGATIVE
2814435995,2018-11-01T16:02:02.000Z,"Montevideo airport adds biometric solutions to be the 1st airport withat boarding gates in Latin America. Part of theinitiative.| PlanetNews
",POSITIVE
1018723811993112577,2018-11-01T15:30:01.000Z,@Delta is changing the way you travel this December. Will you opt-in to usetechnology to check-in drop off bags move through security and board your flight? ,POSITIVE
990899576734453760,2018-11-01T14:33:26.000Z,"Advanced technology changes theway we work and the skills we need but it also boosts productivity andcreates new jobs.@AlainDehaze 
",POSITIVE
884022229,2018-11-01T13:12:39.000Z,"China's powerful surveillance system



@MikeQuindazzi @evankirstel @MHiesboeck @rajat_shrimal @Paula_Piccard @SpirosMargaris @Droit_IA @diioannid @alvinfoo @jblefevre60 @helene_wpli @enricomolinari @Fede_Aguggini @RPK_Valerie @kuriharan ",POSITIVE
1051222879348641792,2018-11-01T12:56:39.000Z,Experts predict that three out of every five smartphones will have AI capabilities by the year 2020 especially in the camera bringing new concerns about facial recognition bias and the power of suggestibility in advertising.,NEGATIVE
1047515824163049472,2018-11-01T09:44:12.000Z,"An interesting development from the @Apple team 
",POSITIVE
92604357,2018-11-01T09:25:01.000Z, will help us live longer reports ! &gt;&gt;&gt;via @MikeQuindazzi &gt;&gt;&gt;&gt;&gt;&gt;,POSITIVE
23412516,2018-11-01T09:02:03.000Z,"RT Dr. Kash Sirinanda: ""'s powerful surveillance system@MikeQuindazzi @evankirstel @MHiesboeck @rajat_shrimal @Paula_Piccard @SpirosMargaris @Droit_IA @diioannid @alvinfoo @jblefevre60 @helene_wpli… ",POSITIVE
146383105,2018-11-01T08:35:02.000Z,"RT Dr. Kash Sirinanda: ""'s powerful surveillance system@MikeQuindazzi @evankirstel @MHiesboeck @rajat_shrimal @Paula_Piccard @SpirosMargaris @Droit_IA @diioannid @alvinfoo @jblefevre60 @helene_wpli… ",POSITIVE
101067053,2018-11-01T07:59:42.000Z,"Will ""hoodies"" &amp; ""baseball caps"" with @metpoliceuk logos be used asmarkers ?Already too many private security guards dress up in near police uniforms -Met Police to sell branded clothing and merchandise ",POSITIVE
14615761,2018-11-01T07:22:45.000Z,"China’s Social Credit System is the best illustration of the future of western democracies in the Anglosphere especially the UK US and Australia in that order.

Every step in commercial or governmentetc is a step in that direction. ",POSITIVE
4374719908,2018-11-01T07:15:31.000Z," will help us live longer reports ! &gt;&gt;&gt; 

 via @MikeQuindazzi &gt;&gt;&gt; 

&gt;&gt;&gt;",POSITIVE
34355039,2018-11-01T04:44:54.000Z,@Amazon &amp; ⁦@JeffBezos⁩ continue to sell faulty facial recognition software,NEGATIVE
967541386517020674,2018-11-01T01:38:16.000Z,@HarrisTeeter @AldiUSA @cvspharmacy @HmartOfficial @BBT @Target @Safeway @GiantFood @Starbucks @HomeDepot @LPmag @Walmart @BedBathBeyond @Apple @McDonalds @officedepot @riteaid @DollarTree @PetSmart @Walgreens @microcenter @ATT @ATTCares @walmarthelp It seemssecurity sys doesn't give me or other victims any due process to prove I'm innocent w/o any criminal histories instead of companies believe employees who obsessed w/me &amp; harassed me at their stores when I was physically sick f/surgeries &amp; illnesses.,NEGATIVE
832479909532405761,2018-11-01T01:08:37.000Z,Great investment by the QLD Government to up-skill and promote jobs in AI.,POSITIVE
2491309992,2018-11-02T19:23:06.000Z,RealNetworks Promotes Free Use of Facial Recognition in Schools,POSITIVE
65667613,2018-11-02T18:46:42.000Z,"Have you ever wondered how you look like in other people's google photos? 

@Google@googlephotos",POSITIVE
83588783,2018-11-02T18:20:12.000Z,Now withtechnology you can have your @burgerfi order saved with a quick scan of your face at their new self-serving kiosks. Read more from @orlandoweekly here: ,POSITIVE
1735172144,2018-11-02T17:00:29.000Z,Huawei’s Honor Magic2 makes a big bet on artificial intelligence.@Huawei @HuaweiMobile,POSITIVE
44800690,2018-11-02T15:52:17.000Z,Detecting fake face images created by both humans and machines,NEGATIVE
900300126312333312,2018-11-02T15:30:40.000Z,The globalmarket will grow at an annual rate of 21.8 percent between 2018 and 2025 when it will be worth $86 billion according to a new forecast from @marketresearcht,POSITIVE
831485797,2018-11-02T14:54:15.000Z,. @GMCcampaign that ran in @SantaMonicaPlc! A great example of technology integration withmedia! @Posterscope @Carat_USA @quividi @LeoBurnett. To Read More:,POSITIVE
19341334,2018-11-02T14:50:10.000Z,Why personalised UX requires a new marketing mindset @martechnews[spoiler alert - we're talking facial recognition!],POSITIVE
261891136,2018-11-02T14:41:07.000Z,Get the edge in staff retention and operational efficiency with AI technology. Ximble advances workforce management with,POSITIVE
805741436465512448,2018-11-02T14:27:02.000Z,Feds Force Suspect To Unlock An AppleX With Their Face,NEGATIVE
968008274003005440,2018-11-02T13:16:11.000Z, will help us live longer reports !MT @jblefevre60 via @MikeQuindazzi@TamaraMcCleary,POSITIVE
