author_id,created_at,text
40028364,2019-10-01T23:41:09.000Z,Nope. Won't work.don't bother themselves with the pettiness of the Commons. They are on private planes and private yachts in private clubs and all else private private. You aren't going to getanywhere near them. Hire Anthropologists.
718597092868919297,2019-10-01T23:38:46.000Z,"(2/3)
AggrevateStalkHackSteal my inheritances+ identity.

In yr 2015 I learnedhoteletc used/usingdevices/methods 2stalk theirgamblingcustomers 2ensure customers NOT STOLEN by another casino hotel.

My only sibling"
77312459,2019-10-01T23:30:16.000Z,"[IDTalk PODCAST]: Listen now to an in-depth discussion onand more with @BenjiHutchinson VP Federal Operations @NEC 



 "
77312459,2019-10-01T22:30:16.000Z,"[FRONT PAGE INTERVIEW]: FindBiometrics speaks with @Tech5ai founders about’s ambitious plans for the future and much more.. 



 "
2955612474,2019-10-01T22:23:23.000Z," exemplifies tech companies' part in easing us in to invasive global surveillance via ""cool"" &amp; ""innovative"" consumer products.

Consumerism funded advancements in drones finger print login voice &amp; facial recognition software.
Now it's all being used against us "
282134662,2019-10-01T22:10:03.000Z,The New Ways Retailers Are Watching You Shop.@BoF
111050337,2019-10-01T21:57:23.000Z,"Unbridled Adoption Of Artificial Intelligence May Result In Millions Of Job Losses And Require Massive Retraining For Those Impacted

"
77312459,2019-10-01T21:30:19.000Z,". @ImageWareInc to bring flagshipplatform allowing IT departments to secure acomputer. 



 "
3166958767,2019-10-01T21:24:24.000Z,Sensetime partners with China Tower for massivevideonetwork with biometricacross its 1.9 million sites 
1124414849331662850,2019-10-01T21:24:09.000Z,Tomorrow inCalifornia bansuse by police @OpenAI experiments in evolution and Congress seeks to revive the Office of Technology Assessment. Get the full story - sign up forour biweekly newsletter.
762579325581484036,2019-10-01T21:07:01.000Z,"The inevitable next step of? 
@BBCNews explores what Chinese schools are doing with the technology and why it’s sparked criticism.
 "
1076907727497162752,2019-10-01T20:39:17.000Z,"Please read and maybe like myself sign and retweet.

This is technology being used in such a way that we could be going down a dangerous path which we know not where it leads us.

Ban"
817951317880619008,2019-10-01T20:31:08.000Z,"How are AI algorithms fooled?

via @medium
☛"
77312459,2019-10-01T20:30:22.000Z,"The new electronic vehicle first car to feature the @AlibabaGroup In-Car Mini APP platform. 



 "
1042872364101451776,2019-10-01T19:42:04.000Z,"Tokyo 2020 Olympics using facial recognition system from NEC Intel

 via @CNET"
1031634734,2019-10-01T19:26:44.000Z,"

 Video Editing &amp; Photo Editing Software + Media Player! "
147301161,2019-10-01T18:24:09.000Z,"False beard and glasses won’t protect you
believe me. I have seen AnyVision F.R. Matching in action. 
… "
369107103,2019-10-01T18:13:38.000Z,teamcymru: China's new 500-megapixel 'super camera' can instantly recognize you in a crowd
1241769014,2019-10-01T18:05:56.000Z,Onand . Why You Can’t Reallyto Facebook’sby @EvanSelinger 
21232519,2019-10-01T18:05:04.000Z,China's new 500-megapixel 'super camera' can instantly recognize you in a crowd
4374719908,2019-10-01T17:46:36.000Z,"[] 8 Megatrends impacting the future of !

HT @HaroldSinnott 

@evankirstel @ipfconline1 @SpirosMargaris @Paula_Piccard @RichSimmondsZA @diioannid @sallyeaves @sebbourguignon @labordeolivier @kalydeoo @jerome_joffre "
4166755647,2019-10-01T17:43:37.000Z,"""The public must be an active part of the conversation about their use. This is especially true when it comes to private data an area where 92 percent of Canadians express some level of concern about privacy protection.""
"
756190052837888000,2019-10-01T17:30:18.000Z,Where are we at with facial recognition software and where is it going? What are the privacy implications and how should marketers and brands be considering putting the technology to good use?
805741436465512448,2019-10-01T17:01:00.000Z,Gatwick Airport commits to facial recognition tech at boarding
89754855,2019-10-01T16:44:43.000Z,China's New 500-Megapixel Camera Can Pick You out in a Crowd of Thousands
1176870368709173249,2019-10-01T16:42:42.000Z,"Motion Wavelet is an efficient video codec based on wavelet conversion providing more flexible selection of the quality of video to stream to remote clients.

"
741349681,2019-10-01T16:37:01.000Z,"HT @mikequindazzi
CC @Antgrasso @Fisher85m

Y Combinator @ycombinator is the most activeinvestor w/ 91 investments followed by Accel @Accel with 81 &gt;&gt;&gt; @VentureScanner via @MikeQuindazzi &gt;&gt;&gt;.. "
1114097001841532928,2019-10-01T16:30:12.000Z,"ChimpFace:is Saving Wildlife from 

Artificial Intelligence is being used to identify individualsold via social media posts then track and disrupt the illegal trade.



@conservationx "
154130317,2019-10-01T16:28:50.000Z,"Food for thought / thought provoking

"
19397439,2019-10-01T16:18:22.000Z," is a dangerously intrusive and discriminatory technology that destroys our privacy rights. 

It has no place on the streets of a free rights-respecting democracy.
Take action -"
282134662,2019-10-01T16:16:01.000Z,Amazon wants to take the lead on regulating facial recognition tech.@amazon
130535328,2019-10-01T16:05:00.000Z,Free Download: How to Identify the Best Facial Recognition Solution:
3815139737,2019-10-01T16:03:57.000Z,"Visit us at The Covert Technology Expo over the next couple of days as we demo our edge-intelligent solutions alongside some of the UK's-leading providers oftechn from the UK.

"
889748059202232320,2019-10-01T15:57:17.000Z," of tamaramccleary 
 
Lip-ReadingEmotion-Detecting Cameras: HowIs Changing The World..

SwissCognitive - Become an AI Ambassador … "
386538440,2019-10-01T15:57:01.000Z," of @tamaramccleary 
 
Lip-ReadingEmotion-Detecting Cameras: HowIs Changing The World..

@SwissCognitive - Join our weekly"
